ranking	entry_name	numSpectra1	totalIntensity01	numSpectr02	totalIntensity02	numColumnsProteinObserved	numSpectraProteinObserved	protein_mw	species	numSpeciesPresentR1	numPepsUniqueSharedSpecies	numSpectraSharedSpecies	totalIntensitySharedSpecies	numPepsUniqueSpecies1	numSpectraSpecies1	totalIntensitySpecies1	numPepsUniqueSpecies2	accession_number	accession_numbers	coverage_map	coverage_maps	percentCoverage	percentCoverages	numPepsUnique	scoreUnique	scoresUnique	groupNum	subgroupNum
80	Isoform 2 of Calsyntenin-1	33	1.84E+10	34	1.94E+10	2	67	109895.7	HUMAN	1	21	47	2.60E+10	11	21	1.30E+10	0	O94985-2	O94985-2|O94985|Q9EPL2-2|Q9EPL2	0+33+60+10+9+25+18+5+14+50+10+2+25+41+10+50+43+11+6+7+10+87+9+8+66+35+29+117+7+174	0+33+60+10+9+25+18+5+14+50+10+2+25+41+10+50+43+11+6+7+10+87+9+8+66+35+29+117+7+174|0+33+36+19+15+10+9+25+18+5+14+50+10+2+25+41+10+50+43+11+6+7+10+87+9+8+66+35+29+117+7+174|0+33+31+5+24+10+9+25+18+69+10+2+8+58+10+61+32+24+10+104+9+38+19+35+11+135+7+172|0+33+31+24+15+10+9+25+18+69+10+2+8+58+10+61+32+24+10+104+9+38+19+35+11+135+7+172	32.5	32.5|31.2|20.4|19.3	31	336.78	336.78|321.81|237.04|222.07	21	21.1
81	Inter-alpha-trypsin inhibitor heavy chain H2	26	7.54E+09	33	1.19E+10	2	59	106917.9	HUMAN	1	10	22	6.53E+09	18	37	1.30E+10	0	P19823	P19823|Q5T985|G3X977|Q61703	0+76+8+9+19+38+37+2+8+10+35+4+13+25+25+18+29+3+8+12+15+69+69+41+32+5+50+286	0+76+8+9+19+38+37+2+8+10+35+4+13+25+25+18+29+3+8+12+15+69+69+41+32+5+50+286|0+65+8+9+19+38+37+2+8+10+35+4+13+25+25+18+29+3+8+12+15+69+69+41+32+5+50+286|0+80+8+92+11+59+13+68+7+45+15+81+24+82+15+350|0+76+8+92+11+59+13+68+7+45+15+81+24+82+15+350	36.7	36.7|37.2|9.7|9.8	28	317.51	317.51|317.51|108.36|108.36	24	24.1
82	Prothrombin	25	7.46E+09	23	8.42E+09	2	48	71519	HUMAN	1	6	14	3.02E+09	18	34	1.29E+10	0	P00734	P00734|E9PIT3|P19221|H7BX99	0+86+8+3+20+7+9+25+19+21+19+7+19+4+16+64+17+9+10+20+16+41+12+15+31+2+37+6+38+18+9+14	0+86+8+3+20+7+9+25+19+21+19+7+19+4+16+64+17+9+10+20+16+41+12+15+31+2+37+6+38+18+9+14|0+86+8+3+20+7+9+25+19+21+19+7+19+4+16+64+17+9+10+20+16+41+6+15+37+6+38+18+9+14|0+159+19+202+16+41+6+114+21+18+9+13|0+159+19+201+16+41+6+114+21+18+9+13	45	45|41.6|11.4|11.5	24	266.63	266.63|215.26|59.55|59.55	36	36.1
83	Histidine-rich glycoprotein	14	5.24E+09	17	7.70E+09	2	31	60547.1	HUMAN	1			0.00E+00	13	31	1.29E+10	0	P04196	P04196	0+33+8+2+9+87+14+11+12+11+14+18+16+49+20+149+7+5+42+2+16	0+33+8+2+9+87+14+11+12+11+14+18+16+49+20+149+7+5+42+2+16	30	30	13	143.76	143.76	84	84.1
84	Isoform 2 of Neural cell adhesion molecule 1	24	9.72E+09	25	1.09E+10	2	49	94214.9	HUMAN	1	12	22	7.81E+09	10	27	1.28E+10	0	P13591-1	P13591-1|P13591-4|P13591-3|P13591|A0A075B6F2|H7BYX6|P13591-5|P13595|P13595-2|E9QB01|P13595-3|E9Q589|P13591-6|P13595-4	0+48+20+53+9+24+8+3+12+4+7+8+21+75+17+44+9+4+7+159+16+5+53+18+9+7+22+22+7+157	0+48+20+53+9+24+8+3+12+4+7+8+21+75+17+44+9+4+7+159+16+5+53+18+9+7+22+22+7+157|0+48+20+53+9+24+8+3+12+4+7+8+21+75+17+44+9+4+7+159+16+5+53+18+9+7+22+22+7+35|0+48+20+53+9+24+8+3+12+4+7+8+21+75+17+44+9+4+7+159+16+5+41+65+9+7+22+22+7+35|0+48+20+53+9+24+8+3+12+4+7+8+21+75+17+67+7+159+16+5+53+18+9+7+22+22+7+157|0+38+20+53+9+24+8+3+12+4+7+8+21+75+17+67+7+159+16+5+41+30+9+7+22+22+7+157|0+47+20+53+9+24+8+3+12+4+7+8+21+75+17+67+7+159+16+5+41+61|0+48+20+53+9+24+8+3+12+4+7+8+21+75+17+67+7+159+16+5+41+61|0+48+13+93+8+3+12+4+7+8+6+102+6+44+9+4+7+202+7+41+9+18+11+22+7+424|0+48+13+93+8+3+12+4+7+8+6+102+6+44+9+4+7+202+7+41+9+18+11+22+7+157|0+48+13+93+8+3+12+4+7+8+6+102+6+44+9+4+7+202+7+41+9+18+11+22+7+157|0+48+13+93+8+3+12+4+7+8+6+102+6+44+9+4+7+202+7+41+9+18+11+22+7+34|0+48+13+93+8+3+12+4+7+8+6+102+6+44+9+4+7+202+7+41+9+18+11+22+7+34|0+48+20+53+9+24+8+3+12+4+7+8+21+75+17+55|0+48+13+93+8+3+12+4+7+8+6+102+6+44+9+4+7+202+7+22	25.5	25.5|29.8|26.9|24.2|23.1|23.7|23.7|9.1|12|12|14|14|25.8|12.3	22	215.06	215.06|215.06|204.93|201.53|191.4|153.48|153.48|103.96|103.96|103.96|103.96|103.96|91.99|81.7	47	47.1
85	CD59 glycoprotein	4	6.05E+09	4	5.99E+09	2	8	15156	HUMAN	1			0.00E+00	3	8	1.20E+10	0	E9PR17	E9PR17|P13987|E9PNW4	0+55+8+3+24+40	0+55+8+3+24+40|0+55+8+3+24+38|0+55+8+3+24+18	24.6	24.6|25|29.6	3	38	38|38|38	211	211.1
86	Neuroendocrine protein 7B2	6	6.48E+09	6	5.03E+09	2	12	23843.4	HUMAN	1			0.00E+00	5	12	1.15E+10	0	P05408	P05408|P05408-2|C9JNY7|C9J650	0+105+19+18+20+19+17+1+13	0+105+19+18+20+19+17+1+13|0+105+19+17+20+19+17+1+13|0+105+19+18+20+11+7+1+13|0+105+19+17+20+11+7+1+13	32.5	32.5|32.7|30.4|30.5	5	52.34	52.34|52.34|39.2|39.2	180	180.1
87	Saposin-D	9	6.27E+09	12	7.65E+09	2	21	63688.6	HUMAN	1	2	3	2.61E+09	8	18	1.13E+10	0	B1AVU8	B1AVU8|P07602-3|P07602-2|C9JIZ6|P07602|Q61207|J3QPG5|K3W4L3|Q8BFQ1|E9PZ00	0+59+8+40+15+110+10+94+8+60+17+8+20+110	0+59+8+40+15+110+10+94+8+60+17+8+20+110|0+59+8+40+15+110+10+97+8+60+17+8+20+75|0+59+8+40+15+110+10+96+8+60+17+8+20+75|0+59+8+40+15+110+10+96+8+60+17+8+20+75|0+59+8+40+15+110+10+94+8+60+17+8+20+75|0+59+8+404+11+75|0+59+8+404+11+75|0+59+8+403+11+75|0+59+8+401+11+75|0+56+8+401+11+75	13.9	13.9|14.8|14.8|14.8|14.8|3.4|3.4|3.4|3.4|3.4	10	97.06	97.06|97.06|97.06|97.06|97.06|23.1|23.1|23.1|23.1|23.1	114	114.1
88	Ganglioside GM2 activator	8	5.00E+09	8	5.88E+09	2	16	21294.4	HUMAN	1			0.00E+00	8	16	1.09E+10	0	P17900	P17900	0+26+23+32+15+34+49+6+6+2	0+26+23+32+15+34+49+6+6+2	48.1	48.1	8	87.69	87.69	131	131.1
89	Ig kappa chain C region	8	3.95E+09	11	6.77E+09	2	19	11779.8	HUMAN	1			0.00E+00	5	19	1.07E+10	0	P01834	P01834	1+18+23+34+7+17+7	1+18+23+34+7+17+7	64.1	64.1	5	63.05	63.05	154	154.1
90	Tetranectin	9	4.07E+09	10	6.16E+09	2	19	22935.8	HUMAN	1			0.00E+00	8	19	1.02E+10	0	P05452	P05452|E9PHK0	0+42+31+16+33+33+28+19	0+42+31+16+33+33+28+19|1+31+16+33+33+28+19	45.5	45.5|56.8	8	91.05	91.05|91.05	125	125.1
91	Vitronectin	11	4.86E+09	12	5.21E+09	2	23	55103.4	HUMAN	1			0.00E+00	11	23	1.01E+10	0	P04004	P04004	0+27+10+139+18+3+15+11+18+89+23+68+22+9+26	0+27+10+139+18+3+15+11+18+89+23+68+22+9+26	27.6	27.6	11	127.81	127.81	96	96.1
92	Epididymal secretory protein E1	5	5.06E+09	6	4.62E+09	2	11	22954.3	HUMAN	1			0.00E+00	6	11	9.69E+09	0	E7EMS2	E7EMS2|G3V3E8|P61916|J3KMY5|P61916-2	0+25+26+20+23+9+9+4+18+67	0+25+26+20+23+9+9+4+18+67|0+25+26+20+23+9+9+4+18+40|0+25+26+20+23+9+9+4+18+17|0+25+26+20+23+9+9+4+18+14|0+25+26+20+23+9+9+13	37.8	37.8|43.6|50.3|51.3|46.4	6	55.47	55.47|55.47|55.47|55.47|43.39	172	172.1
93	Complement component C7	30	6.37E+09	25	5.44E+09	2	55	96711.6	HUMAN	1	3	7	2.15E+09	22	48	9.66E+09	0	P10643	P10643|D3YXF5	0+77+11+2+9+25+28+7+7+12+13+42+11+34+15+1+29+2+10+3+9+14+17+24+16+2+9+90+35+24+34+16+26+62+17+11+9+7+21+62	0+77+11+2+9+25+28+7+7+12+13+42+11+34+15+1+29+2+10+3+9+14+17+24+16+2+9+90+35+24+34+16+26+62+17+11+9+7+21+62|0+90+9+59+7+128+20+532	38.6	38.6|4.2	25	297.92	297.92|38.99	27	27.1
94	Heparin cofactor 2	12	4.72E+09	14	4.68E+09	2	26	57240.8	HUMAN	1			0.00E+00	15	26	9.40E+09	0	P05546	P05546	0+22+26+77+14+31+14+8+11+8+8+9+9+59+18+53+9+14+6+5+9+21+7+30+15+16	0+22+26+77+14+31+14+8+11+8+8+9+9+59+18+53+9+14+6+5+9+21+7+30+15+16	29.2	29.2	15	134.57	134.57	93	93.1
95	Complement C1q subcomponent subunit C	7	3.83E+09	7	5.36E+09	2	14	26001.4	HUMAN	1			0.00E+00	5	14	9.18E+09	0	P02747	P02747	0+117+40+31+22+35	0+117+40+31+22+35	25.3	25.3	5	61.47	61.47	159	159.1
96	Insulin-like growth factor-binding protein 7	14	4.33E+09	17	6.49E+09	2	31	30156.8	HUMAN	1	4	8	1.65E+09	11	23	9.17E+09	0	Q16270	Q16270|Q16270-2|F8WH23|Q61581|E9Q5D9	0+54+35+8+37+12+21+30+43+22+14+6	0+54+35+8+37+12+21+30+43+22+14+6|0+54+35+8+37+12+21+30+43+22+14+3|0+146+21+54+19+42|0+145+21+54+19+42|0+146+7+99+19+42	53.1	53.1|53.7|14.1|14.2|8.3	15	164.82	164.82|164.82|44.15|44.15|34.94	64	64.1
97	Complement C1s subcomponent	16	5.00E+09	13	4.13E+09	2	29	78223.5	HUMAN	1			0.00E+00	14	29	9.13E+09	0	P09871	P09871|F8WCZ6	0+86+19+6+8+145+16+16+12+23+15+91+10+54+39+59+24+6+17+23+19	0+86+19+6+8+145+16+16+12+23+15+91+10+54+39+59+24+6+17+23+19|0+97+16+16+12+23+15+91+10+54+39+59+24+6+17+23+19	26	26|29.1	14	140.49	140.49|121.67	89	89.1
98	Thy-1 membrane glycoprotein	8	4.73E+09	7	4.18E+09	2	15	18162.6	HUMAN	1			0.00E+00	4	15	8.91E+09	0	P04216	P04216|J3QRJ3	0+21+14+24+16+12+10+64	0+21+14+24+16+12+10+64|0+42+16+12+10+64	24.8	24.8|18	4	53.95	53.95|41.85	175	175.1
99	Neurosecretory protein VGF	19	4.80E+09	21	6.95E+09	2	40	67313.7	HUMAN	1	8	14	2.92E+09	11	26	8.84E+09	0	O15240	O15240|Q0VGU4	0+52+8+3+57+56+12+6+10+3+9+4+58+2+29+14+19+16+14+112+20+111	0+52+8+3+57+56+12+6+10+3+9+4+58+2+29+14+19+16+14+112+20+111|0+179+12+6+10+3+9+79+14+14+19+143+20+109	38.3	38.3|13.6	19	220.38	220.38|86.39	46	46.1
100	Ig lambda-7 chain C region	7	2.39E+09	7	5.76E+09	2	14	11473.6	HUMAN	1			0.00E+00	3	14	8.15E+09	0	A0M8Q6	A0M8Q6	0+4+19+27+10+5+15+26	0+4+19+27+10+5+15+26	41.5	41.5	3	37.47	37.47	212	212.2
101	Alpha-2-antiplasmin	13	3.36E+09	14	5.40E+09	2	27	54907.1	HUMAN	1	1	4	9.30E+08	13	23	7.83E+09	0	P08697	P08697|P08697-2|Q61247	0+51+30+50+19+20+39+33+10+24+17+141+27+7+7+16	0+51+30+50+19+20+39+33+10+24+17+141+27+7+7+16|0+67+19+20+39+33+10+24+17+141+27+7+7+16|0+276+17+198	30.3	30.3|27.8|3.4	14	122.26	122.26|101.7|12.37	99	99.1
102	"Keratin, type I cytoskeletal 9"	15	3.63E+09	16	4.13E+09	2	31	62291.5	HUMAN	1			0.00E+00	16	31	7.76E+09	0	P35527	P35527|K7EQQ3	0+13+16+17+13+4+32+59+9+7+70+10+11+60+15+38+16+59+23+151	0+13+16+17+13+4+32+59+9+7+70+10+11+60+15+38+16+59+23+151|1+7+10+11+60+15+38+16+59+23+151	32.9	32.9|18.2	16	171.88	171.88|60.83	61	61.1
103	Isoform 2 of Tyrosine-protein phosphatase non-receptor type substrate 1	3	3.95E+09	5	4.00E+09	2	8	55906.8	HUMAN	1	1	2	3.45E+08	4	6	7.61E+09	0	P78324-2	P78324-2|P78324|P78324-4|Q5TFQ8|Q9P1W8|Q9P1W8-2|Q9P1W8-4|Q9P1W8-3|O00241|O00241-2|H9KV29|H3BV43|P97797|E0CYM8|P97797-2|Q6P6I8|Q6F5F2|E9QPT7|P97797-3	0+89+18+28+10+41+28+37+13+244	0+89+18+28+10+41+28+37+13+244|0+89+18+28+10+41+28+37+13+240|0+89+18+27+10+41+28+37+13+240|0+88+18+28+10+106+13+135|0+87+18+282|0+54+18+282|0+87+18+171|0+87+18+65|0+134+10+254|0+134+10+37|0+133+10+37|0+134+10+28|0+98+9+406|0+98+9+406|0+98+9+402|0+98+9+402|0+95+9+287|0+98+9+188|0+98+9+188	13.5	13.5|13.6|13.7|10.3|4.6|5|6.5|10.5|2.5|5.5|5.5|5.8|1.7|1.7|1.7|1.7|2.3|3|3	5	46.27	46.27|46.27|46.27|32.82|15.77|15.77|15.77|15.77|12.29|12.29|12.29|12.29|6.71|6.71|6.71|6.71|6.71|6.71|6.71	194	194.1
104	Isoform 3 of Protein kinase C-binding protein NELL2	17	5.17E+09	22	7.00E+09	2	39	102070.1	HUMAN	1	10	17	4.60E+09	13	22	7.57E+09	0	Q99435-3	Q99435-3|Q99435-2|Q99435|Q99435-4|F8VVB6|Q61220|F8VRQ0	0+106+9+3+12+2+40+8+40+4+28+24+24+14+8+67+7+21+26+3+8+25+19+4+17+178+12+15+49+31+12+5+10+8+11+16	0+106+9+3+12+2+40+8+40+4+28+24+24+14+8+67+7+21+26+3+8+25+19+4+17+178+12+15+49+31+12+5+10+8+11+16|0+79+9+3+12+2+40+8+40+4+28+24+24+14+8+67+7+21+26+3+8+25+19+4+17+178+12+15+49+31+12+5+10+8+11+16|0+56+9+3+12+2+40+8+40+4+28+24+24+14+8+67+7+21+26+3+8+25+19+4+17+178+12+15+49+31+12+5+10+8+11+16|0+55+9+3+12+2+40+8+40+4+28+24+24+14+8+67+7+21+26+3+8+25+19+4+17+178+12+15+49+31+12+5+10+8+11+16|0+55+9+3+12+2+40+8+40+4+28+24+24+14+8+67+7+21+26+3+8+25+19+4+17+131+12+15+49+31+12+5+10+8+11+16|0+85+12+18+10+72+8+24+14+24+8+157+19+4+17+285+12+5+10+8+11+16|0+56+9+3+12+2+30	38.3	38.3|39.5|40.6|40.7|43.2|14.7|45.5	23	257.77	257.77|257.77|257.77|257.77|257.77|106.68|42.05	39	39.1
105	Lumican	7	3.53E+09	13	4.29E+09	2	20	38770.6	HUMAN	1	2	3	4.81E+08	8	17	7.34E+09	0	P51884	P51884|P51885	0+59+10+5+10+53+11+22+11+3+32+10+9+32+21+27+15+8	0+59+10+5+10+53+11+22+11+3+32+10+9+32+21+27+15+8|0+59+10+5+10+254	35.2	35.2|5.9	10	111.32	111.32|18.42	106	106.1
106	Complement C1r subcomponent	17	3.82E+09	20	4.17E+09	2	37	81657.6	HUMAN	1	4	6	1.40E+09	17	33	7.27E+09	0	P00736	P00736|Q8CG16|Q8CFG9|F5H1V0|Q3UZ09	0+57+20+10+16+125+7+27+8+31+7+5+18+8+27+22+11+21+16+35+36+24+16+55+6+21+32+28+9+7	0+57+20+10+16+125+7+27+8+31+7+5+18+8+27+22+11+21+16+35+36+24+16+55+6+21+32+28+9+7|0+261+8+216+21+185+9+7|0+261+8+225+12+184+9+7|0+57+20+10+16+41|0+262+21+199	32.4	32.4|5.3|4.1|25|4.3	19	179.4	179.4|38.13|30.71|21.32|14.02	60	60.1
107	Extracellular superoxide dismutase [Cu-Zn]	5	3.78E+09	6	3.36E+09	2	11	26306.9	HUMAN	1			0.00E+00	5	11	7.14E+09	0	P08294	P08294	0+41+11+25+8+75+43+37	0+41+11+25+8+75+43+37	25.8	25.8	5	58.13	58.13	168	168.1
108	Complement factor I light chain	15	2.70E+09	20	3.97E+09	2	35	69020.4	HUMAN	1			0.00E+00	19	35	6.67E+09	0	E7ETH0	E7ETH0|P05156|G3XAM2|D6R9Z8	0+36+33+11+19+12+19+6+6+45+13+2+16+21+18+75+6+15+13+31+25+28+6+32+10+93	0+36+33+11+19+12+19+6+6+45+13+2+16+21+18+75+6+15+13+31+25+28+6+32+10+93|0+36+33+11+19+12+19+6+6+45+13+2+16+21+18+67+6+15+13+31+25+28+6+32+10+93|0+36+33+11+19+12+19+6+6+45+13+2+16+21+18+60+6+15+13+31+25+28+6+32+10+93|0+36+33+11+19+12+19+6+6+19	31.1	31.1|31.5|31.9|47.8	19	189.85	189.85|189.85|189.85|93.26	54	54.1
109	Vitamin K-dependent protein S	11	2.33E+09	14	3.96E+09	2	25	77175.2	HUMAN	1			0.00E+00	14	25	6.29E+09	0	P07225	P07225|G5E9F8	0+84+27+86+36+137+28+3+23+8+13+28+8+65+32+3+21+74	0+84+27+86+36+137+28+3+23+8+13+28+8+65+32+3+21+74|0+66+36+137+28+3+23+8+13+28+8+65+32+3+21+74	27.8	27.8|29.5	14	140.94	140.94|113.08	87	87.1
110	Isoform 4 of Extracellular matrix protein 1	13	2.32E+09	19	3.91E+09	2	32	65216.8	HUMAN	1			0.00E+00	15	32	6.23E+09	0	Q16610-4	Q16610-4|Q16610|Q16610-2|Q16610-3	0+117+37+28+8+22+20+47+9+5+16+41+20+55+32+35+11+29+13+22	0+117+37+28+8+22+20+47+9+5+16+41+20+55+32+35+11+29+13+22|0+90+37+28+8+22+20+47+9+5+16+41+20+55+32+35+11+29+13+22|0+90+37+28+8+22+20+68+32+35+11+29+13+22|0+19+37+28+8+22+20+36	29.2	29.2|30.7|29.1|38.2	15	160.46	160.46|160.46|114.46|56.83	66	66.1
111	Isoform 2 of Neuroblastoma suppressor of tumorigenicity 1	3	2.96E+09	3	3.04E+09	2	6	23739.5	HUMAN	1			0.00E+00	3	6	6.00E+09	0	P41271-2	P41271-2|P41271	0+59+14+76+11+56	0+59+14+76+11+56|0+24+14+76+11+56	11.5	11.5|13.8	3	31.86	31.86|31.86	234	234.1
112	Insulin-like growth factor-binding protein 2	9	3.89E+09	11	4.38E+09	2	20	35897.5	HUMAN	1	7	8	2.74E+09	6	12	5.53E+09	0	P18065	P18065|C9JMY1|P47877|D3YU40	0+41+63+6+23+53+6+24+21+10+16+29+25+8	0+41+63+6+23+53+6+24+21+10+16+29+25+8|0+42+6+24+21+10+16+29+25+8|0+39+8+17+12+91+6+23+21+10+16+62|0+20+6+23+21+10+16+62	47.3	47.3|37.5|20.6|27.2	13	143.94	143.94|70.2|59.1|43.57	83	83.1
113	Immunoglobulin lambda-like polypeptide 5	6	1.43E+09	7	4.09E+09	2	13	23405.2	HUMAN	1			0.00E+00	3	13	5.52E+09	0	B9A064	B9A064|P0CG04	0+112+19+27+10+5+15+26	0+112+19+27+10+5+15+26|0+4+19+27+10+5+15+26	20.5	20.5|41.5	3	35.64	35.64|35.64	212	212.3
114	"Keratin, type II cytoskeletal 2 epidermal"	5	2.34E+09	4	3.12E+09	2	9	65717	HUMAN	1			0.00E+00	6	9	5.46E+09	0	P35908	P35908|Q01546|P12035	0+188+7+2+12+57+9+27+12+79+8+238	0+188+7+2+12+57+9+27+12+79+8+238|0+193+7+71+9+358|0+208+7+73+9+331	7.5	7.5|2.5|2.5	6	52.22	52.22|23.02|23.02	38	38.2
115	Mimecan	12	3.80E+09	16	5.12E+09	2	28	34263.9	HUMAN	1	5	10	3.53E+09	8	18	5.39E+09	0	P20774	P20774|Q62000	0+58+11+50+8+10+58+15+27+34+27	0+58+11+50+8+10+58+15+27+34+27|0+119+8+19+19+16+7+93+17	43.9	43.9|17.1	13	138.63	138.63|50.2	91	91.1
116	Phosphoinositide-3-kinase-interacting protein 1	6	2.59E+09	5	2.75E+09	2	11	28703.9	HUMAN	1			0.00E+00	5	11	5.34E+09	0	Q96FE7	Q96FE7|Q96FE7-2|Q96FE7-4	0+34+11+26+29+163	0+34+11+26+29+163|0+34+11+26+29+134|0+34+11+26+29+73	15.2	15.2|17|23.1	5	41.32	41.32|41.32|41.32	205	205.1
117	Corticosteroid-binding globulin	6	3.55E+09	3	1.72E+09	2	9	45311.2	HUMAN	1			0.00E+00	6	9	5.27E+09	0	P08185	P08185|G3V350	0+37+23+1+25+14+18+86+13+55+10+123	0+37+23+1+25+14+18+86+13+55+10+123|0+37+23+1+25+14+18+160	21.9	21.9|23.7	6	60.54	60.54|38.23	161	161.1
118	Inter-alpha-trypsin inhibitor heavy chain H1	13	2.35E+09	12	2.69E+09	2	25	101843.7	HUMAN	1	1	1	2.66E+07	13	24	5.01E+09	0	P19827	P19827|P19827-2|F8WAS2|P19827-3|F8WJ05|Q61702	0+41+13+11+28+32+12+20+12+15+20+10+8+6+29+103+16+148+25+5+23+35+28+271	0+41+13+11+28+32+12+20+12+15+20+10+8+6+29+103+16+148+25+5+23+35+28+271|0+15+12+15+20+10+8+6+29+103+16+148+25+5+23+35+28+271|0+41+13+11+28+32+12+20+12+44|0+72+16+148+25+5+23+35+28+271|0+565+13+333|0+561+13+333	23.4	23.4|20.9|30.5|14.7|1.4|1.4	14	159.11	159.11|106.44|58.08|55.36|12.39|12.39	70	70.1
119	Isoform 4 of Cadherin-13	7	2.93E+09	5	4.36E+09	2	12	84023.5	HUMAN	1	5	7	2.62E+09	3	5	4.67E+09	0	P55290-4	P55290-4|P55290|P55290-2|P55290-3|P55290-5|Q9WTR5	0+112+20+7+34+12+14+9+9+19+12+512	0+112+20+7+34+12+14+9+9+19+12+512|0+65+20+7+34+12+14+9+9+19+12+512|0+65+20+7+34+12+14+38|0+65+20+7+34+12+14+23|0+65+20+7+23+35+12+512|0+92+34+12+14+37+12+513	11.7	11.7|12.4|35.7|38.8|8.1|8.4	8	85.58	85.58|85.58|67.38|67.38|59.27|55.8	134	134.1
120	Phospholipid transfer protein	7	1.89E+09	10	2.74E+09	2	17	54966.7	HUMAN	1			0.00E+00	10	17	4.63E+09	0	P55058	P55058|P55058-2|P55058-3|P55058-4	0+29+6+5+15+180+9+7+11+20+22+24+6+51+6+24+14+3+34+27	0+29+6+5+15+180+9+7+11+20+22+24+6+51+6+24+14+3+34+27|0+29+6+5+15+128+9+7+11+20+22+24+6+51+6+24+14+3+34+27|0+29+6+5+15+85+9+7+11+20+22+24+6+51+6+24+14+3+34+27|0+147+9+7+11+20+22+24+6+51+6+24+14+3+34+27	24.9	24.9|27.8|30.9|25.1	10	92.04	92.04|92.04|92.04|71.7	123	123.1
121	Brevican core protein	7	2.14E+09	9	2.42E+09	2	16	100599.7	HUMAN	1			0.00E+00	8	16	4.56E+09	0	Q96GW7	Q96GW7|Q96GW7-2	0+68+8+79+7+52+21+39+6+32+9+26+7+524+11+22	0+68+8+79+7+52+21+39+6+32+9+26+7+524+11+22|0+68+8+79+7+52+21+39+6+32+9+26+7+317	7.5	7.5|8.6	8	65.59	65.59|53.64	152	152.1
122	Complement factor H-related protein 1	4	1.35E+09	7	3.04E+09	2	11	38791	HUMAN	1			0.00E+00	6	11	4.39E+09	0	Q03591	Q03591|B1AKG0	0+27+11+127+6+90+20+10+10+13+15+1	0+27+11+127+6+90+20+10+10+13+15+1|0+27+11+164+20+10+10+13+15+1	18.7	18.7|20.6	6	65.83	65.83|58.71	6	6.2
123	Procollagen C-endopeptidase enhancer 1	15	1.86E+10	14	1.51E+10	2	29	48827.4	HUMAN	1	4	7	2.95E+10	13	22	4.25E+09	0	Q15113	Q15113|Q61398|D3YUE2	0+80+27+3+52+42+26+69+21+4+20+21+22+7+40+2+7+6	0+80+27+3+52+42+26+69+21+4+20+21+22+7+40+2+7+6|0+90+16+23+32+307|0+90+16+23+19+345	47.8	47.8|10.2|7	17	187.74	187.74|54.68|37.32	58	58.1
124	Cadherin-2	10	2.95E+09	13	4.20E+09	2	23	100263.9	HUMAN	1	3	8	2.95E+09	7	15	4.21E+09	0	P19022	P19022|P19022-2|P15116|D3YYT0	0+33+26+8+78+761	0+33+26+8+78+761|0+36+78+761|0+47+12+42+13+792|0+44+13+792	11.4	11.4|8.9|2.7|1.5	10	118.37	118.37|96.12|39.92|28.48	102	102.1
125	Protein FAM3C	7	4.30E+09	9	5.95E+09	2	16	24965.3	HUMAN	1	4	8	6.09E+09	4	8	4.16E+09	0	Q92520	Q92520|G5E911|Q91VU0|G3X9I1|E9Q8C5	0+30+19+23+25+5+10+25+19+7+25+39	0+30+19+23+25+5+10+25+19+7+25+39|0+50+11+31+25+82+9+39|0+30+11+31+25+82+9+39|1+11+31+25+82+9+39|0+30+11+31+12+15	43.1	43.1|18.2|19.8|22.3|23.2	8	89.61	89.61|50.68|50.68|50.68|25.01	128	128.1
126	Complement component C9	11	1.77E+09	15	2.15E+09	2	26	64655.7	HUMAN	1			0.00E+00	14	26	3.92E+09	0	P02748	P02748	0+77+9+59+9+29+24+6+12+6+36+44+21+102+7+5+37+13+12+51	0+77+9+59+9+29+24+6+12+6+36+44+21+102+7+5+37+13+12+51	29.8	29.8	14	159.15	159.15	69	69.1
127	Dystroglycan	7	1.62E+09	9	3.03E+09	2	16	97782	HUMAN	1	2	4	8.17E+08	6	12	3.83E+09	0	Q14118	Q14118|Q62165	0+79+16+6+36+31+33+6+6+13+8+27+41+593	0+79+16+6+36+31+33+6+6+13+8+27+41+593|0+224+8+48+20+593	15.6	15.6|3.1	8	90.03	90.03|18.7	126	126.1
128	CD44 antigen	3	1.94E+09	3	1.69E+09	2	6	82049.7	HUMAN	1			0.00E+00	3	6	3.63E+09	0	P16070	P16070|P16070-5|P16070-7|P16070-3|P16070-6|P16070-4|P16070-17|P16070-8|P16070-9|P16070-16|P16070-10|P16070-11|P16070-13|P16070-14|P16070-12|P16070-18|P16070-15|H0YD13|E9PKC6|P16070-19|Q86UZ1	0+29+9+30+22+652	0+29+9+30+22+652|0+29+9+30+22+644|0+29+9+30+22+623|0+29+9+30+22+621|0+29+9+30+22+609|0+29+9+30+22+609|0+29+9+30+22+601|0+29+9+30+22+584|0+29+9+30+22+585|0+29+9+30+22+578|0+29+9+30+22+403|0+29+9+30+22+339|0+29+9+30+22+335|0+29+9+30+22+306|0+29+9+30+22+271|0+29+9+30+22+250|0+29+9+30+22+204|0+29+9+30+22+116|0+29+9+30+10|0+29+9+101|0+29+9+42	4.1	4.1|4.2|4.3|4.3|4.4|4.4|4.4|4.5|4.5|4.6|6.2|7.2|7.2|7.8|8.5|9.1|10.5|15|24.3|6.4|11.2	3	31.69	31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|31.69|18.28|5.16|5.16	235	235.1
